YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M,Country,Month,Date
2021,321,19.47,25.29,20.56,9.76,4.16,53.1,2.13,4.81,77.04,12.79,Kenya,2,2021-02-01
2018,319,18.67,18.97,14.87,6.02,1.9,75.87,1.26,3.38,78.79,10.1,Kenya,3,2018-03-01
2025,101,23.48,21.87,18.62,10.58,9.87,73.18,2.45,4.72,75.97,10.25,Kenya,9,2025-09-01
2022,329,20.34,21.8,17.61,9.86,1.73,43.93,2.71,3.45,77.63,8.9,Kenya,7,2022-07-01
2019,273,19.98,26.28,17.11,2.44,4.07,58.46,1.3,2.1,76.92,9.14,Kenya,4,2019-04-01
2021,265,19.73,22.8,22.09,4.69,7.14,75.42,1.76,3.99,79.1,10.77,Kenya,10,2021-10-01
2024,38,21.57,20.01,16.4,3.93,10.8,46.73,2.21,3.53,77.55,7.89,Kenya,5,2024-05-01
2017,94,19.1,24.76,16.37,5.9,13.18,74.44,0.59,2.38,77.32,10.51,Kenya,2,2017-02-01
2021,95,21.33,20.54,19.66,6.37,9.23,63.59,2.21,4.19,76.92,13.02,Kenya,11,2021-11-01
2025,305,23.23,22.48,18.52,6.46,0.19,78.4,0.57,3.11,76.3,5.73,Kenya,8,2025-08-01
2025,69,20.92,21.46,19.56,8.11,1.48,64.99,2.57,7.09,77.31,6.92,Kenya,4,2025-04-01
2022,318,19.5,21.88,17.23,8.99,6.69,57.78,1.56,2.54,75.62,11.35,Kenya,9,2022-09-01
2019,236,18.09,24.87,17.63,7.93,5.6,68.08,0.56,2.79,75.66,12.73,Kenya,5,2019-05-01
2018,334,19.45,26.04,20.8,4.88,11.14,64.7,1.42,4.87,78.01,9.02,Kenya,9,2018-09-01
2022,137,21.13,20.45,15.33,4.44,15.4,56.89,1.46,3.87,75.24,6.0,Kenya,4,2022-04-01
2022,76,16.93,24.25,16.79,6.01,14.34,87.18,3.07,4.85,76.68,12.86,Kenya,10,2022-10-01
2017,35,21.66,21.53,18.6,6.85,10.47,55.29,2.17,4.38,75.95,8.38,Kenya,5,2017-05-01
2020,1,20.42,21.6,16.61,5.63,5.64,42.57,1.04,3.42,76.6,9.28,Kenya,9,2020-09-01
2019,296,19.7,23.98,15.86,3.31,9.75,80.82,3.65,2.62,77.18,10.64,Kenya,8,2019-08-01
2016,320,18.68,20.94,18.24,7.36,11.31,59.16,2.63,5.07,77.98,8.67,Kenya,3,2016-03-01
2022,60,19.05,23.94,19.67,5.22,2.26,62.03,1.66,2.71,78.22,8.25,Kenya,1,2022-01-01
2020,320,21.19,24.46,16.72,5.15,0.34,61.42,0.45,4.56,76.08,8.28,Kenya,3,2020-03-01
2016,349,19.74,22.13,16.66,5.89,0.84,59.3,1.58,4.92,76.53,13.72,Kenya,4,2016-04-01
2019,328,19.0,25.65,15.7,5.52,1.38,57.34,1.78,3.87,81.05,12.32,Kenya,2,2019-02-01
2015,267,20.94,20.45,16.41,5.27,3.91,55.03,2.37,3.7,76.75,11.15,Kenya,1,2015-01-01
2024,361,21.02,25.69,19.17,3.44,4.25,65.65,2.61,3.02,76.12,5.63,Kenya,7,2024-07-01
2020,229,17.5,19.11,17.16,5.78,2.0,60.98,2.81,4.46,76.28,11.16,Kenya,8,2020-08-01
2023,270,21.14,28.4,15.39,7.41,0.92,72.3,0.39,0.95,76.76,11.05,Kenya,7,2023-07-01
2015,316,25.0,22.19,17.52,6.53,6.51,69.83,2.21,4.72,76.61,7.44,Kenya,5,2015-05-01
2025,286,20.94,20.68,19.1,7.9,3.91,55.72,1.84,4.12,76.77,10.52,Kenya,12,2025-12-01
2025,291,16.6,22.53,15.88,4.54,5.15,66.09,4.68,3.78,76.98,12.1,Kenya,1,2025-01-01
2024,213,20.35,20.91,14.34,3.44,9.83,60.82,2.06,4.24,76.97,11.14,Kenya,7,2024-07-01
2017,165,16.34,23.77,21.38,5.51,7.32,55.08,1.38,2.63,76.04,8.64,Kenya,7,2017-07-01
2021,5,26.33,25.74,14.24,4.77,10.59,71.89,2.11,1.59,77.37,10.03,Kenya,9,2021-09-01
2018,339,24.47,21.01,16.28,4.98,3.4,63.79,1.99,4.47,77.12,11.46,Kenya,3,2018-03-01
2023,78,18.67,24.16,17.46,6.42,11.06,60.92,0.01,5.32,77.5,10.12,Kenya,9,2023-09-01
2017,62,15.51,19.93,16.46,4.99,4.8,56.44,2.41,2.26,75.29,12.51,Kenya,1,2017-01-01
2019,132,18.24,25.07,16.85,3.5,3.84,54.72,1.69,2.95,77.16,10.79,Kenya,1,2019-01-01
2017,89,19.64,23.83,18.15,4.88,10.31,84.89,1.97,4.75,75.01,11.51,Kenya,4,2017-04-01
