YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M,Country,Month,Date
2021,321,26.47,32.29,27.56,9.76,4.16,53.1,2.13,4.81,77.04,12.79,Nigeria,2,2021-02-01
2018,319,25.67,25.97,21.87,6.02,1.9,75.87,1.26,3.38,78.79,10.1,Nigeria,3,2018-03-01
2025,101,30.48,28.87,25.62,10.58,9.87,73.18,2.45,4.72,75.97,10.25,Nigeria,9,2025-09-01
2022,329,27.34,28.8,24.61,9.86,1.73,43.93,2.71,3.45,77.63,8.9,Nigeria,7,2022-07-01
2019,273,26.98,33.28,24.11,2.44,4.07,58.46,1.3,2.1,76.92,9.14,Nigeria,4,2019-04-01
2021,265,26.73,29.8,29.09,4.69,7.14,75.42,1.76,3.99,79.1,10.77,Nigeria,10,2021-10-01
2024,38,28.57,27.01,23.4,3.93,10.8,46.73,2.21,3.53,77.55,7.89,Nigeria,5,2024-05-01
2017,94,26.1,31.76,23.37,5.9,13.18,74.44,0.59,2.38,77.32,10.51,Nigeria,2,2017-02-01
2021,95,28.33,27.54,26.66,6.37,9.23,63.59,2.21,4.19,76.92,13.02,Nigeria,11,2021-11-01
2025,305,30.23,29.48,25.52,6.46,0.19,78.4,0.57,3.11,76.3,5.73,Nigeria,8,2025-08-01
2025,69,27.92,28.46,26.56,8.11,1.48,64.99,2.57,7.09,77.31,6.92,Nigeria,4,2025-04-01
2022,318,26.5,28.88,24.23,8.99,6.69,57.78,1.56,2.54,75.62,11.35,Nigeria,9,2022-09-01
2019,236,25.09,31.87,24.63,7.93,5.6,68.08,0.56,2.79,75.66,12.73,Nigeria,5,2019-05-01
2018,334,26.45,33.04,27.8,4.88,11.14,64.7,1.42,4.87,78.01,9.02,Nigeria,9,2018-09-01
2022,137,28.13,27.45,22.33,4.44,15.4,56.89,1.46,3.87,75.24,6.0,Nigeria,4,2022-04-01
2022,76,23.93,31.25,23.79,6.01,14.34,87.18,3.07,4.85,76.68,12.86,Nigeria,10,2022-10-01
2017,35,28.66,28.53,25.6,6.85,10.47,55.29,2.17,4.38,75.95,8.38,Nigeria,5,2017-05-01
2020,1,27.42,28.6,23.61,5.63,5.64,42.57,1.04,3.42,76.6,9.28,Nigeria,9,2020-09-01
2019,296,26.7,30.98,22.86,3.31,9.75,80.82,3.65,2.62,77.18,10.64,Nigeria,8,2019-08-01
2016,320,25.68,27.94,25.24,7.36,11.31,59.16,2.63,5.07,77.98,8.67,Nigeria,3,2016-03-01
2022,60,26.05,30.94,26.67,5.22,2.26,62.03,1.66,2.71,78.22,8.25,Nigeria,1,2022-01-01
2020,320,28.19,31.46,23.72,5.15,0.34,61.42,0.45,4.56,76.08,8.28,Nigeria,3,2020-03-01
2016,349,26.74,29.13,23.66,5.89,0.84,59.3,1.58,4.92,76.53,13.72,Nigeria,4,2016-04-01
2019,328,26.0,32.65,22.7,5.52,1.38,57.34,1.78,3.87,81.05,12.32,Nigeria,2,2019-02-01
2015,267,27.94,27.45,23.41,5.27,3.91,55.03,2.37,3.7,76.75,11.15,Nigeria,1,2015-01-01
2024,361,28.02,32.69,26.17,3.44,4.25,65.65,2.61,3.02,76.12,5.63,Nigeria,7,2024-07-01
2020,229,24.5,26.11,24.16,5.78,2.0,60.98,2.81,4.46,76.28,11.16,Nigeria,8,2020-08-01
2023,270,28.14,35.4,22.39,7.41,0.92,72.3,0.39,0.95,76.76,11.05,Nigeria,7,2023-07-01
2015,316,32.0,29.19,24.52,6.53,6.51,69.83,2.21,4.72,76.61,7.44,Nigeria,5,2015-05-01
2025,286,27.94,27.68,26.1,7.9,3.91,55.72,1.84,4.12,76.77,10.52,Nigeria,12,2025-12-01
2025,291,23.6,29.53,22.88,4.54,5.15,66.09,4.68,3.78,76.98,12.1,Nigeria,1,2025-01-01
2024,213,27.35,27.91,21.34,3.44,9.83,60.82,2.06,4.24,76.97,11.14,Nigeria,7,2024-07-01
2017,165,23.34,30.77,28.38,5.51,7.32,55.08,1.38,2.63,76.04,8.64,Nigeria,7,2017-07-01
