YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M,Country,Month,Date
2021,321,28.47,34.29,29.56,9.76,4.16,53.1,2.13,4.81,77.04,12.79,Sudan,2,2021-02-01
2018,319,27.67,27.97,23.87,6.02,1.9,75.87,1.26,3.38,78.79,10.1,Sudan,3,2018-03-01
2025,101,32.48,30.87,27.62,10.58,9.87,73.18,2.45,4.72,75.97,10.25,Sudan,9,2025-09-01
2022,329,29.34,30.8,26.61,9.86,1.73,43.93,2.71,3.45,77.63,8.9,Sudan,7,2022-07-01
2019,273,28.98,35.28,26.11,2.44,4.07,58.46,1.3,2.1,76.92,9.14,Sudan,4,2019-04-01
2021,265,28.73,31.8,31.09,4.69,7.14,75.42,1.76,3.99,79.1,10.77,Sudan,10,2021-10-01
2024,38,30.57,29.01,25.4,3.93,10.8,46.73,2.21,3.53,77.55,7.89,Sudan,5,2024-05-01
2017,94,28.1,33.76,25.37,5.9,13.18,74.44,0.59,2.38,77.32,10.51,Sudan,2,2017-02-01
2021,95,30.33,29.54,28.66,6.37,9.23,63.59,2.21,4.19,76.92,13.02,Sudan,11,2021-11-01
2025,305,32.23,31.48,27.52,6.46,0.19,78.4,0.57,3.11,76.3,5.73,Sudan,8,2025-08-01
2025,69,29.92,30.46,28.56,8.11,1.48,64.99,2.57,7.09,77.31,6.92,Sudan,4,2025-04-01
2022,318,28.5,30.88,26.23,8.99,6.69,57.78,1.56,2.54,75.62,11.35,Sudan,9,2022-09-01
2019,236,27.09,33.87,26.63,7.93,5.6,68.08,0.56,2.79,75.66,12.73,Sudan,5,2019-05-01
2018,334,28.45,35.04,29.8,4.88,11.14,64.7,1.42,4.87,78.01,9.02,Sudan,9,2018-09-01
2022,137,30.13,29.45,24.33,4.44,15.4,56.89,1.46,3.87,75.24,6.0,Sudan,4,2022-04-01
2022,76,25.93,33.25,25.79,6.01,14.34,87.18,3.07,4.85,76.68,12.86,Sudan,10,2022-10-01
2017,35,30.66,30.53,27.6,6.85,10.47,55.29,2.17,4.38,75.95,8.38,Sudan,5,2017-05-01
2020,1,29.42,30.6,25.61,5.63,5.64,42.57,1.04,3.42,76.6,9.28,Sudan,9,2020-09-01
2019,296,28.7,32.98,24.86,3.31,9.75,80.82,3.65,2.62,77.18,10.64,Sudan,8,2019-08-01
2016,320,27.68,29.94,27.24,7.36,11.31,59.16,2.63,5.07,77.98,8.67,Sudan,3,2016-03-01
2022,60,28.05,32.94,28.67,5.22,2.26,62.03,1.66,2.71,78.22,8.25,Sudan,1,2022-01-01
2020,320,30.19,33.46,25.72,5.15,0.34,61.42,0.45,4.56,76.08,8.28,Sudan,3,2020-03-01
2016,349,28.74,31.13,25.66,5.89,0.84,59.3,1.58,4.92,76.53,13.72,Sudan,4,2016-04-01
2019,328,28.0,34.65,24.7,5.52,1.38,57.34,1.78,3.87,81.05,12.32,Sudan,2,2019-02-01
2015,267,29.94,29.45,25.41,5.27,3.91,55.03,2.37,3.7,76.75,11.15,Sudan,1,2015-01-01
2024,361,30.02,34.69,28.17,3.44,4.25,65.65,2.61,3.02,76.12,5.63,Sudan,7,2024-07-01
2020,229,26.5,28.11,26.16,5.78,2.0,60.98,2.81,4.46,76.28,11.16,Sudan,8,2020-08-01
2023,270,30.14,37.4,24.39,7.41,0.92,72.3,0.39,0.95,76.76,11.05,Sudan,7,2023-07-01
2015,316,34.0,31.19,26.52,6.53,6.51,69.83,2.21,4.72,76.61,7.44,Sudan,5,2015-05-01
2025,286,29.94,29.68,28.1,7.9,3.91,55.72,1.84,4.12,76.77,10.52,Sudan,12,2025-12-01
2025,291,25.6,31.53,24.88,4.54,5.15,66.09,4.68,3.78,76.98,12.1,Sudan,1,2025-01-01
2024,213,29.35,29.91,23.34,3.44,9.83,60.82,2.06,4.24,76.97,11.14,Sudan,7,2024-07-01
2017,165,25.34,32.77,30.38,5.51,7.32,55.08,1.38,2.63,76.04,8.64,Sudan,7,2017-07-01
2021,5,35.33,34.74,23.24,4.77,10.59,71.89,2.11,1.59,77.37,10.03,Sudan,9,2021-09-01
2018,339,33.47,30.01,25.28,4.98,3.4,63.79,1.99,4.47,77.12,11.46,Sudan,3,2018-03-01
2023,78,27.67,33.16,26.46,6.42,11.06,60.92,0.01,5.32,77.5,10.12,Sudan,9,2023-09-01
2017,62,24.51,28.93,25.46,4.99,4.8,56.44,2.41,2.26,75.29,12.51,Sudan,1,2017-01-01
2019,132,27.24,34.07,25.85,3.5,3.84,54.72,1.69,2.95,77.16,10.79,Sudan,1,2019-01-01
2017,89,28.64,32.83,27.15,4.88,10.31,84.89,1.97,4.75,75.01,11.51,Sudan,4,2017-04-01
2021,237,25.48,34.15,21.22,6.68,1.36,68.34,1.13,4.36,76.82,11.64,Sudan,9,2021-09-01
2019,42,28.86,31.76,23.47,7.34,13.12,54.09,0.91,6.96,77.66,7.87,Sudan,6,2019-06-01
2023,89,28.62,31.13,26.09,7.32,1.59,67.88,2.88,5.08,78.05,10.1,Sudan,11,2023-11-01
2021,296,29.25,33.63,25.19,6.85,3.09,75.62,3.11,4.84,77.33,9.34,Sudan,3,2021-03-01
2016,328,29.46,29.38,26.26,5.66,6.27,66.68,2.42,3.24,77.68,12.09,Sudan,1,2016-01-01
2018,295,27.07,28.51,26.46,6.81,1.11,78.74,0.19,4.52,76.7,10.93,Sudan,4,2018-04-01
2023,104,27.29,31.99,21.77,5.92,13.13,49.57,2.48,5.5,76.49,9.62,Sudan,12,2023-12-01
2016,14,29.09,31.22,28.55,6.23,0.84,45.09,0.2,3.84,79.69,7.44,Sudan,9,2016-09-01
2024,288,27.74,33.11,25.0,4.12,4.57,67.61,1.34,3.88,77.83,6.81,Sudan,3,2024-03-01
2023,179,30.81,34.18,24.27,6.09,4.13,67.76,2.87,4.14,75.83,10.62,Sudan,12,2023-12-01
2024,125,29.07,33.07,26.42,6.76,7.06,31.6,2.66,3.34,75.27,8.57,Sudan,9,2024-09-01
2019,353,32.73,34.02,26.21,6.68,0.89,58.76,2.46,4.27,76.53,11.33,Sudan,7,2019-07-01
2016,23,30.64,32.64,28.39,3.42,6.47,54.91,3.31,4.24,78.19,6.71,Sudan,12,2016-12-01
2018,63,31.21,32.99,26.54,6.19,0.86,51.08,2.56,5.48,77.05,13.19,Sudan,4,2018-04-01
2021,143,29.27,31.77,28.32,3.11,7.23,54.89,-0.02,3.81,74.78,11.33,Sudan,3,2021-03-01
2022,153,29.31,32.93,24.12,6.35,3.66,70.96,1.63,4.67,76.82,10.2,Sudan,10,2022-10-01
2017,145,32.46,32.33,26.28,4.6,3.43,54.83,1.96,3.84,77.0,13.37,Sudan,5,2017-05-01
2015,225,28.24,32.65,23.77,9.41,7.41,55.17,1.84,4.64,74.58,11.9,Sudan,5,2015-05-01
2018,309,30.09,31.67,26.2,6.24,10.78,48.81,1.38,3.75,77.02,9.05,Sudan,3,2018-03-01
2016,104,28.47,33.62,25.77,7.6,12.56,77.69,0.97,4.57,75.99,10.16,Sudan,12,2016-12-01
2022,104,28.46,30.58,25.69,10.22,7.32,69.35,4.4,4.73,75.16,6.07,Sudan,9,2022-09-01
2018,39,26.66,31.96,25.7,4.37,4.39,40.08,1.61,2.93,78.6,12.13,Sudan,4,2018-04-01
2016,198,27.51,34.62,27.47,6.87,4.14,55.18,4.35,5.1,75.94,9.41,Sudan,11,2016-11-01
2020,134,27.14,30.1,22.79,3.63,4.01,70.29,0.86,3.83,76.33,6.05,Sudan,5,2020-05-01
2020,67,30.19,27.68,24.2,6.69,4.07,77.81,2.66,3.53,76.32,7.64,Sudan,4,2020-04-01
2024,179,31.08,32.73,25.92,9.53,2.01,73.41,2.23,3.29,77.0,11.74,Sudan,5,2024-05-01
2018,42,28.81,31.49,23.64,4.74,6.16,61.44,1.08,4.3,78.77,13.23,Sudan,7,2018-07-01
2020,15,29.46,34.02,26.09,4.23,8.61,45.69,1.53,4.0,75.8,10.04,Sudan,9,2020-09-01
2016,111,28.7,31.74,25.9,5.82,1.09,73.7,1.98,4.37,76.69,8.04,Sudan,7,2016-07-01
2024,157,27.38,30.79,23.19,10.09,1.17,62.03,1.16,4.39,77.12,7.16,Sudan,5,2024-05-01
2016,289,30.72,31.85,23.09,7.54,2.3,65.69,1.74,4.61,76.13,12.83,Sudan,10,2016-10-01
2024,231,30.31,34.19,20.75,4.19,0.08,63.23,-0.36,6.78,76.68,10.9,Sudan,10,2024-10-01
2018,157,25.21,33.15,23.56,8.91,5.21,51.44,2.71,4.04,77.59,9.34,Sudan,7,2018-07-01
2022,38,28.43,27.13,26.03,2.69,1.98,68.64,3.23,3.27,76.24,8.86,Sudan,10,2022-10-01
2021,97,27.24,32.37,26.31,10.27,3.16,67.26,2.45,1.98,76.66,11.34,Sudan,5,2021-05-01
2023,289,28.22,32.47,26.4,7.71,9.04,60.74,4.26,2.8,76.57,11.29,Sudan,3,2023-03-01
2022,254,27.66,31.96,24.44,9.53,11.51,69.71,2.68,5.24,76.9,8.21,Sudan,7,2022-07-01
2019,196,28.91,30.78,25.96,2.7,2.48,51.26,3.14,4.72,77.24,7.72,Sudan,11,2019-11-01
2016,86,28.34,34.39,26.79,6.34,5.73,62.31,3.24,2.65,77.59,7.82,Sudan,11,2016-11-01
2019,322,28.3,34.49,23.46,5.73,7.37,65.26,-0.75,6.46,78.94,9.06,Sudan,2,2019-02-01
2022,10,31.21,27.59,26.25,3.99,4.46,47.65,2.42,4.33,74.34,8.62,Sudan,12,2022-12-01
2024,5,30.11,30.4,27.31,3.41,3.8,64.43,0.62,4.46,76.83,13.24,Sudan,9,2024-09-01
2023,123,27.59,31.71,25.02,7.01,15.67,72.34,0.82,6.24,75.64,8.99,Sudan,10,2023-10-01
2023,330,27.89,33.9,28.12,7.2,6.39,61.97,0.99,5.74,76.61,7.5,Sudan,10,2023-10-01
2015,353,29.98,32.07,25.07,8.6,1.77,64.66,1.69,4.78,77.88,7.61,Sudan,12,2015-12-01
2023,118,29.98,30.63,24.28,4.99,0.2,70.62,2.65,4.83,78.2,9.63,Sudan,1,2023-01-01
2021,294,27.79,33.42,27.11,5.72,7.11,61.12,2.43,4.92,78.24,6.36,Sudan,6,2021-06-01
2023,159,28.53,31.58,30.07,3.24,5.35,62.02,1.99,3.76,78.24,9.88,Sudan,7,2023-07-01
2022,303,32.69,31.77,26.17,9.08,12.74,53.23,2.72,4.29,76.83,7.33,Sudan,8,2022-08-01
2015,228,27.83,31.95,27.27,6.14,1.07,64.85,2.78,4.57,78.4,12.32,Sudan,10,2015-10-01
2022,216,32.82,33.15,24.98,7.45,6.68,61.65,2.44,3.87,78.6,10.23,Sudan,9,2022-09-01
2022,184,31.21,31.38,23.52,7.52,0.32,69.99,0.28,3.03,77.14,14.24,Sudan,2,2022-02-01
2025,15,32.45,33.37,26.33,8.92,7.41,70.63,1.26,3.73,78.18,9.54,Sudan,11,2025-11-01
2017,157,27.74,31.85,26.65,4.34,0.86,72.91,2.03,3.01,77.04,3.74,Sudan,10,2017-10-01
2015,136,28.66,29.87,25.28,7.4,1.1,59.92,2.73,4.06,78.41,12.92,Sudan,2,2015-02-01
2022,261,28.1,31.93,27.26,5.95,3.1,43.23,0.67,2.22,76.84,11.0,Sudan,5,2022-05-01
2017,157,31.25,29.97,24.69,10.21,4.15,72.42,1.99,4.34,76.39,11.31,Sudan,5,2017-05-01
2017,47,27.86,32.08,24.2,4.33,3.94,69.31,0.43,2.37,75.88,7.99,Sudan,6,2017-06-01
2015,324,30.46,33.66,28.12,8.34,1.91,58.65,3.03,3.6,76.83,9.91,Sudan,3,2015-03-01
2025,332,30.36,29.85,28.13,6.7,0.51,70.55,2.24,4.5,77.08,10.37,Sudan,8,2025-08-01
2019,173,28.9,32.73,24.73,6.6,0.2,50.51,0.65,4.79,76.05,9.52,Sudan,1,2019-01-01
2024,130,31.6,30.34,29.44,6.11,2.09,75.3,0.65,4.67,76.75,6.53,Sudan,6,2024-06-01
2021,95,29.22,32.4,25.43,8.69,7.71,61.66,2.39,4.32,76.47,15.54,Sudan,4,2021-04-01
2024,115,30.67,33.72,26.17,6.53,0.22,56.71,3.37,2.88,75.92,11.67,Sudan,1,2024-01-01
2023,243,28.01,27.74,25.83,2.95,6.97,58.78,0.9,4.98,78.04,10.84,Sudan,7,2023-07-01
2021,292,27.55,29.77,27.05,8.44,4.32,62.69,2.79,2.9,78.21,12.63,Sudan,9,2021-09-01
2023,282,30.46,31.26,26.54,8.07,6.63,64.88,1.46,5.09,78.03,11.29,Sudan,4,2023-04-01
2022,299,29.86,32.63,26.52,7.17,0.98,65.48,2.82,4.63,76.92,8.65,Sudan,4,2022-04-01
2016,283,29.49,31.67,23.96,3.74,0.2,60.7,2.68,5.36,76.98,12.5,Sudan,6,2016-06-01
2015,69,28.31,31.91,22.62,4.05,0.25,67.0,2.16,4.02,75.94,11.7,Sudan,12,2015-12-01
2021,148,32.1,36.09,28.28,2.25,1.27,65.08,0.17,3.18,77.41,8.72,Sudan,3,2021-03-01
2021,11,26.77,29.58,24.91,6.92,8.53,58.52,2.68,2.71,77.17,11.58,Sudan,12,2021-12-01
2022,254,26.66,34.27,25.9,3.3,2.43,57.02,2.5,2.82,79.84,9.52,Sudan,6,2022-06-01
2019,330,30.88,31.3,26.65,2.56,7.2,71.08,2.41,2.36,78.09,10.42,Sudan,7,2019-07-01
2017,360,30.72,33.1,29.26,8.55,1.84,70.24,2.2,4.94,77.32,11.2,Sudan,11,2017-11-01
2022,38,29.71,36.26,26.32,7.54,1.08,65.57,1.12,5.07,76.96,12.74,Sudan,10,2022-10-01
2020,134,28.42,33.38,25.21,5.33,7.77,74.24,3.08,4.55,78.0,8.71,Sudan,10,2020-10-01
2025,200,30.0,32.74,24.95,5.73,1.03,45.39,2.9,3.97,76.08,10.73,Sudan,3,2025-03-01
2017,23,32.44,35.2,25.93,1.19,8.06,59.36,0.92,6.06,78.14,14.03,Sudan,7,2017-07-01
2015,303,34.03,34.25,24.18,7.83,0.14,53.44,3.31,3.9,75.91,9.65,Sudan,3,2015-03-01
2017,346,25.69,30.4,26.06,4.61,1.39,87.56,2.13,4.22,76.44,10.39,Sudan,2,2017-02-01
2019,302,28.16,32.59,25.9,6.66,11.35,72.13,2.13,3.95,75.16,14.03,Sudan,12,2019-12-01
2017,363,28.04,28.57,29.28,1.02,0.82,64.21,1.82,3.66,77.61,11.27,Sudan,10,2017-10-01
2015,218,32.25,30.92,25.83,7.96,3.73,72.85,1.92,4.63,77.25,7.05,Sudan,4,2015-04-01
2019,141,24.04,32.63,22.15,4.49,6.08,76.16,3.37,3.37,76.44,8.41,Sudan,12,2019-12-01
2024,104,30.03,30.8,31.35,3.25,4.13,76.06,3.03,3.3,76.07,11.38,Sudan,8,2024-08-01
2021,210,28.49,32.55,27.91,5.32,4.28,74.22,3.01,4.68,78.38,10.85,Sudan,9,2021-09-01
2021,111,32.28,31.97,30.16,4.81,2.72,62.37,2.18,3.5,76.87,10.33,Sudan,7,2021-07-01
2025,104,32.0,33.07,23.69,8.15,3.51,59.99,2.89,4.13,76.23,14.32,Sudan,1,2025-01-01
2023,316,29.73,31.15,25.56,5.16,4.74,55.38,1.17,3.66,78.92,8.77,Sudan,3,2023-03-01
2024,171,25.84,30.12,27.35,8.73,0.66,70.02,2.58,3.99,76.34,9.85,Sudan,12,2024-12-01
2024,356,27.85,34.96,27.07,6.66,6.88,63.41,1.85,3.33,78.14,6.07,Sudan,9,2024-09-01
2017,324,28.07,31.01,26.61,7.79,9.86,60.82,-0.06,3.36,75.85,12.32,Sudan,12,2017-12-01
2021,133,26.35,33.32,21.6,6.0,6.03,60.29,0.41,3.18,76.65,8.4,Sudan,1,2021-01-01
2015,293,31.31,34.87,22.58,8.54,9.87,79.5,1.34,4.84,77.5,12.11,Sudan,9,2015-09-01
2018,328,26.09,32.33,29.04,3.69,0.94,74.53,2.42,4.17,76.94,11.9,Sudan,8,2018-08-01
